model,flight_id,attack_type,start_time,duration,delay,detected
bilstm,254,drift_ramp,307.55,0.0,,False
bilstm,254,drift_ramp,308.1,0.0,,False
bilstm,254,drift_ramp,308.40000000000003,0.0,,False
bilstm,254,drift_ramp,311.25,0.0,,False
bilstm,258,drift_sigmoid,312.0,0.0,,False
bilstm,258,drift_sigmoid,312.8,0.0,,False
bilstm,258,drift_sigmoid,313.65000000000003,0.0,,False
bilstm,258,drift_sigmoid,313.95000000000005,0.0,,False
bilstm,258,drift_sigmoid,316.90000000000003,0.0,,False
bilstm,258,drift_sigmoid,317.95000000000005,0.0,,False
bilstm,258,drift_sigmoid,318.5,0.0,,False
bilstm,258,drift_sigmoid,319.25,0.0,,False
bilstm,258,drift_sigmoid,319.40000000000003,0.0,,False
bilstm,264,delay,319.95000000000005,0.0,,False
bilstm,264,delay,320.20000000000005,0.0,,False
bilstm,264,delay,322.90000000000003,0.0,,False
bilstm,264,delay,323.6,0.0,,False
bilstm,264,delay,324.65000000000003,0.0,,False
bilstm,264,delay,325.75,0.0,,False
bilstm,264,delay,327.40000000000003,0.0,,False
bilstm,270,normal,331.40000000000003,0.0,,False
bilstm,270,normal,333.40000000000003,0.0,,False
bilstm,270,normal,333.90000000000003,0.0,,False
bilstm,276,takeover_step,336.5,0.0,,False
bilstm,276,takeover_step,337.20000000000005,0.0,,False
bilstm,276,takeover_step,341.70000000000005,0.0,,False
bilstm,276,takeover_step,342.70000000000005,0.0,,False
bilstm,276,takeover_step,344.35,0.0,,False
bilstm,279,drift_ramp,345.85,0.0,,False
bilstm,279,drift_ramp,349.65000000000003,0.0,,False
gru,2,takeover_ramp,0.65,0.0,,False
gru,2,takeover_ramp,1.3,0.0,,False
gru,2,takeover_ramp,2.9000000000000004,0.0,,False
gru,2,takeover_ramp,3.2,0.0,,False
gru,2,takeover_ramp,5.6000000000000005,0.0,,False
gru,2,takeover_ramp,6.6000000000000005,0.0,,False
gru,18,normal,9.450000000000001,0.0,,False
gru,18,normal,11.0,0.0,,False
gru,18,normal,12.05,0.0,,False
gru,18,normal,13.0,0.0,,False
gru,18,normal,14.700000000000001,0.0,,False
gru,76,step,16.5,0.0,,False
gru,76,step,18.0,0.0,,False
gru,76,step,19.400000000000002,0.0,,False
gru,76,step,19.75,0.0,,False
gru,76,step,21.400000000000002,0.0,,False
gru,76,step,22.400000000000002,0.0,,False
gru,76,step,23.3,0.0,,False
gru,77,takeover_ramp,24.950000000000003,0.0,,False
gru,77,takeover_ramp,25.650000000000002,0.0,,False
gru,77,takeover_ramp,28.35,0.0,,False
gru,77,takeover_ramp,29.25,0.0,,False
gru,77,takeover_ramp,31.700000000000003,0.0,,False
gru,95,step,32.800000000000004,0.0,,False
gru,95,step,34.1,0.0,,False
gru,95,step,34.85,0.0,,False
gru,95,step,37.2,0.0,,False
gru,95,step,38.300000000000004,0.0,,False
gru,95,step,40.800000000000004,0.0,,False
gru,108,step,43.300000000000004,0.0,,False
gru,108,step,44.95,0.0,,False
gru,108,step,45.400000000000006,0.04999999999999716,,False
gru,108,step,47.35,0.0,,False
gru,110,step,50.2,0.0,,False
gru,110,step,51.45,0.0,,False
gru,110,step,53.0,0.0,,False
gru,110,step,53.6,0.0,,False
gru,110,step,55.35,0.0,,False
gru,110,step,56.300000000000004,0.0,,False
gru,112,takeover_ramp,58.650000000000006,0.0,,False
gru,112,takeover_ramp,59.2,0.0,,False
gru,112,takeover_ramp,61.25,0.0,,False
gru,112,takeover_ramp,63.0,0.0,,False
gru,112,takeover_ramp,65.45,0.0,,False
gru,114,drift_ramp,68.95,0.0,,False
gru,114,drift_ramp,69.4,0.0,,False
gru,114,drift_ramp,70.3,0.0,,False
gru,117,delay,77.05000000000001,0.0,,False
gru,117,delay,77.30000000000001,0.0,,False
gru,117,delay,80.30000000000001,0.0,,False
gru,117,delay,80.9,0.0,,False
gru,117,delay,81.65,0.0,,False
gru,118,normal,82.9,0.0,,False
gru,118,normal,84.9,0.0,,False
gru,118,normal,90.05000000000001,0.0,,False
gru,123,delay,90.80000000000001,0.0,,False
gru,123,delay,91.30000000000001,0.0,,False
gru,123,delay,92.30000000000001,0.0,,False
gru,123,delay,96.65,0.0,,False
gru,131,drift_ramp,105.55000000000001,0.0,,False
gru,131,drift_ramp,106.5,0.0,,False
gru,134,normal,111.35000000000001,0.0,,False
gru,134,normal,113.25,0.0,,False
gru,134,normal,113.80000000000001,0.0,,False
gru,136,normal,115.75,0.0,,False
gru,136,normal,118.95,0.0,,False
gru,136,normal,120.5,0.0,,False
gru,136,normal,120.95,0.0,,False
gru,136,normal,121.2,0.0,,False
gru,136,normal,121.80000000000001,0.0,,False
gru,149,delay,124.45,0.0,,False
gru,149,delay,124.75,0.05000000000001137,,False
gru,149,delay,126.7,0.0,,False
gru,149,delay,127.30000000000001,0.0,,False
gru,149,delay,128.1,0.0,,False
gru,149,delay,130.70000000000002,0.0,,False
gru,150,normal,134.35,0.0,,False
gru,150,normal,138.15,0.0,,False
gru,150,normal,138.75,0.0,,False
gru,154,normal,140.55,0.04999999999998295,,False
gru,154,normal,143.65,0.0,,False
gru,154,normal,143.9,0.0,,False
gru,154,normal,146.75,0.0,,False
gru,162,takeover_step,148.1,0.0,,False
gru,162,takeover_step,150.45000000000002,0.0,,False
gru,162,takeover_step,151.05,0.0,,False
gru,162,takeover_step,152.15,0.0,,False
gru,162,takeover_step,152.65,0.0,,False
gru,162,takeover_step,154.95000000000002,0.0,,False
gru,165,drift_sigmoid,156.15,0.0,,False
gru,165,drift_sigmoid,156.70000000000002,0.0,,False
gru,165,drift_sigmoid,160.70000000000002,0.0,,False
gru,165,drift_sigmoid,161.85000000000002,0.0,,False
gru,165,drift_sigmoid,161.95000000000002,0.0,,False
gru,165,drift_sigmoid,162.05,0.0,,False
gru,165,drift_sigmoid,162.8,0.0,,False
gru,165,drift_sigmoid,162.95000000000002,0.0,,False
gru,165,drift_sigmoid,163.65,0.0,,False
gru,166,normal,164.20000000000002,0.0,,False
gru,166,normal,167.95000000000002,0.0,,False
gru,166,normal,169.10000000000002,0.0,,False
gru,166,normal,169.75,0.0,,False
gru,166,normal,170.60000000000002,0.04999999999998295,,False
gru,166,normal,171.65,0.0,,False
gru,169,takeover_ramp,175.70000000000002,0.0,,False
gru,169,takeover_ramp,175.8,0.0,,False
gru,169,takeover_ramp,177.20000000000002,0.0,,False
gru,169,takeover_ramp,179.05,0.0,,False
gru,169,takeover_ramp,180.20000000000002,0.0,,False
gru,170,normal,187.5,0.05000000000001137,,False
gru,170,normal,188.25,0.0,,False
gru,179,takeover_step,193.15,0.0,,False
gru,179,takeover_step,193.8,0.0,,False
gru,179,takeover_step,195.10000000000002,0.0,,False
gru,179,takeover_step,195.8,0.0,,False
gru,179,takeover_step,196.15,0.0,,False
gru,179,takeover_step,196.35000000000002,0.0,,False
gru,184,drift_ramp,197.4,0.0,,False
gru,184,drift_ramp,197.65,0.0,,False
gru,184,drift_ramp,199.25,0.0,,False
gru,184,drift_ramp,202.65,0.0,,False
gru,184,drift_ramp,204.15,0.0,,False
gru,192,drift_sigmoid,206.20000000000002,0.0,,False
gru,192,drift_sigmoid,207.8,0.0,,False
gru,192,drift_sigmoid,208.0,0.0,,False
gru,193,takeover_ramp,213.75,0.0,,False
gru,193,takeover_ramp,215.25,0.0,,False
gru,193,takeover_ramp,216.95000000000002,0.0,,False
gru,193,takeover_ramp,217.5,0.0,,False
gru,193,takeover_ramp,218.05,0.0,,False
gru,193,takeover_ramp,221.20000000000002,0.0,,False
gru,197,drift_sigmoid,223.70000000000002,0.0,,False
gru,197,drift_sigmoid,228.9,0.05000000000001137,,False
gru,212,drift_sigmoid,231.15,0.0,,False
gru,212,drift_sigmoid,231.85000000000002,0.0,,False
gru,214,normal,239.35000000000002,0.0,,False
gru,214,normal,245.05,0.0,,False
gru,221,takeover_step,246.15,0.0,,False
gru,221,takeover_step,247.35000000000002,0.04999999999998295,,False
gru,221,takeover_step,247.5,0.0,,False
gru,221,takeover_step,249.10000000000002,0.0,,False
gru,221,takeover_step,249.75,0.0,,False
gru,221,takeover_step,251.75,0.0,,False
gru,221,takeover_step,251.9,0.0,,False
gru,221,takeover_step,252.4,0.0,,False
gru,224,takeover_step,254.60000000000002,0.0,,False
gru,233,delay,265.2,0.0,,False
gru,233,delay,266.7,0.0,,False
gru,233,delay,268.15000000000003,0.0,,False
gru,238,normal,273.2,0.0,,False
gru,238,normal,274.15000000000003,0.0,,False
gru,238,normal,276.55,0.0,,False
gru,238,normal,276.95,0.0,,False
gru,238,normal,278.15000000000003,0.0,,False
gru,239,normal,281.95,0.05000000000001137,,False
gru,239,normal,285.45,0.0,,False
gru,239,normal,285.8,0.0,,False
gru,243,step,288.75,0.0,,False
gru,243,step,289.35,0.0,,False
gru,243,step,289.55,0.0,,False
gru,243,step,292.25,0.05000000000001137,,False
gru,243,step,294.65000000000003,0.0,,False
gru,250,normal,296.05,0.0,,False
gru,250,normal,297.65000000000003,0.0,,False
gru,250,normal,298.75,0.0,,False
gru,250,normal,300.75,0.0,,False
gru,250,normal,301.7,0.0,,False
gru,250,normal,302.95,0.0,,False
gru,254,drift_ramp,303.40000000000003,0.0,,False
gru,254,drift_ramp,305.05,0.0,,False
gru,254,drift_ramp,305.45,0.0,,False
gru,254,drift_ramp,306.75,0.0,,False
gru,254,drift_ramp,307.55,0.0,,False
gru,254,drift_ramp,308.1,0.0,,False
gru,254,drift_ramp,308.40000000000003,0.0,,False
gru,254,drift_ramp,311.25,0.0,,False
gru,258,drift_sigmoid,312.0,0.0,,False
gru,258,drift_sigmoid,312.8,0.0,,False
gru,258,drift_sigmoid,313.65000000000003,0.0,,False
gru,258,drift_sigmoid,313.95000000000005,0.0,,False
gru,258,drift_sigmoid,316.90000000000003,0.0,,False
gru,258,drift_sigmoid,317.95000000000005,0.0,,False
gru,258,drift_sigmoid,318.5,0.0,,False
gru,258,drift_sigmoid,319.25,0.0,,False
gru,258,drift_sigmoid,319.40000000000003,0.0,,False
gru,264,delay,319.95000000000005,0.0,,False
gru,264,delay,320.20000000000005,0.0,,False
gru,264,delay,322.90000000000003,0.0,,False
gru,264,delay,323.6,0.0,,False
gru,264,delay,324.65000000000003,0.0,,False
gru,264,delay,325.75,0.0,,False
gru,264,delay,327.40000000000003,0.0,,False
gru,270,normal,331.40000000000003,0.0,,False
gru,270,normal,333.40000000000003,0.0,,False
gru,270,normal,333.90000000000003,0.0,,False
gru,276,takeover_step,336.5,0.0,,False
gru,276,takeover_step,337.20000000000005,0.0,,False
gru,276,takeover_step,341.70000000000005,0.0,,False
gru,276,takeover_step,342.70000000000005,0.0,,False
gru,276,takeover_step,344.35,0.0,,False
gru,279,drift_ramp,345.85,0.0,,False
gru,279,drift_ramp,349.65000000000003,0.0,,False
cnn_lstm,2,takeover_ramp,0.65,0.0,,False
cnn_lstm,2,takeover_ramp,1.3,0.0,,False
cnn_lstm,2,takeover_ramp,2.9000000000000004,0.0,,False
cnn_lstm,2,takeover_ramp,3.2,0.0,,False
cnn_lstm,2,takeover_ramp,5.6000000000000005,0.0,,False
cnn_lstm,2,takeover_ramp,6.6000000000000005,0.0,,False
cnn_lstm,18,normal,9.450000000000001,0.0,,False
cnn_lstm,18,normal,11.0,0.0,,False
cnn_lstm,18,normal,12.05,0.0,,False
cnn_lstm,18,normal,13.0,0.0,,False
cnn_lstm,18,normal,14.700000000000001,0.0,,False
cnn_lstm,76,step,16.5,0.0,,False
cnn_lstm,76,step,18.0,0.0,,False
cnn_lstm,76,step,19.400000000000002,0.0,,False
cnn_lstm,76,step,19.75,0.0,,False
cnn_lstm,76,step,21.400000000000002,0.0,,False
cnn_lstm,76,step,22.400000000000002,0.0,,False
cnn_lstm,76,step,23.3,0.0,,False
cnn_lstm,77,takeover_ramp,24.950000000000003,0.0,,False
cnn_lstm,77,takeover_ramp,25.650000000000002,0.0,,False
cnn_lstm,77,takeover_ramp,28.35,0.0,,False
cnn_lstm,77,takeover_ramp,29.25,0.0,,False
cnn_lstm,77,takeover_ramp,31.700000000000003,0.0,,False
cnn_lstm,95,step,32.800000000000004,0.0,,False
cnn_lstm,95,step,34.1,0.0,,False
cnn_lstm,95,step,34.85,0.0,,False
cnn_lstm,95,step,37.2,0.0,,False
cnn_lstm,95,step,38.300000000000004,0.0,,False
cnn_lstm,95,step,40.800000000000004,0.0,,False
cnn_lstm,108,step,43.300000000000004,0.0,,False
cnn_lstm,108,step,44.95,0.0,,False
cnn_lstm,108,step,45.400000000000006,0.04999999999999716,,False
cnn_lstm,108,step,47.35,0.0,,False
cnn_lstm,110,step,50.2,0.0,,False
cnn_lstm,110,step,51.45,0.0,,False
cnn_lstm,110,step,53.0,0.0,,False
cnn_lstm,110,step,53.6,0.0,,False
cnn_lstm,110,step,55.35,0.0,,False
cnn_lstm,110,step,56.300000000000004,0.0,,False
cnn_lstm,112,takeover_ramp,58.650000000000006,0.0,,False
cnn_lstm,112,takeover_ramp,59.2,0.0,,False
cnn_lstm,112,takeover_ramp,61.25,0.0,,False
cnn_lstm,112,takeover_ramp,63.0,0.0,,False
cnn_lstm,112,takeover_ramp,65.45,0.0,,False
cnn_lstm,114,drift_ramp,68.95,0.0,,False
cnn_lstm,114,drift_ramp,69.4,0.0,,False
cnn_lstm,114,drift_ramp,70.3,0.0,,False
cnn_lstm,117,delay,77.05000000000001,0.0,,False
cnn_lstm,117,delay,77.30000000000001,0.0,,False
cnn_lstm,117,delay,80.30000000000001,0.0,,False
cnn_lstm,117,delay,80.9,0.0,,False
cnn_lstm,117,delay,81.65,0.0,,False
cnn_lstm,118,normal,82.9,0.0,,False
cnn_lstm,118,normal,84.9,0.0,,False
cnn_lstm,118,normal,90.05000000000001,0.0,,False
cnn_lstm,123,delay,90.80000000000001,0.0,,False
cnn_lstm,123,delay,91.30000000000001,0.0,,False
cnn_lstm,123,delay,92.30000000000001,0.0,,False
cnn_lstm,123,delay,96.65,0.0,,False
cnn_lstm,131,drift_ramp,105.55000000000001,0.0,,False
cnn_lstm,131,drift_ramp,106.5,0.0,,False
cnn_lstm,134,normal,111.35000000000001,0.0,,False
cnn_lstm,134,normal,113.25,0.0,,False
cnn_lstm,134,normal,113.80000000000001,0.0,,False
cnn_lstm,136,normal,115.75,0.0,,False
cnn_lstm,136,normal,118.95,0.0,,False
cnn_lstm,136,normal,120.5,0.0,,False
cnn_lstm,136,normal,120.95,0.0,,False
cnn_lstm,136,normal,121.2,0.0,,False
cnn_lstm,136,normal,121.80000000000001,0.0,,False
cnn_lstm,149,delay,124.45,0.0,,False
cnn_lstm,149,delay,124.75,0.05000000000001137,,False
cnn_lstm,149,delay,126.7,0.0,,False
cnn_lstm,149,delay,127.30000000000001,0.0,,False
cnn_lstm,149,delay,128.1,0.0,,False
cnn_lstm,149,delay,130.70000000000002,0.0,,False
cnn_lstm,150,normal,134.35,0.0,,False
cnn_lstm,150,normal,138.15,0.0,,False
cnn_lstm,150,normal,138.75,0.0,,False
cnn_lstm,154,normal,140.55,0.04999999999998295,,False
cnn_lstm,154,normal,143.65,0.0,,False
cnn_lstm,154,normal,143.9,0.0,,False
cnn_lstm,154,normal,146.75,0.0,,False
cnn_lstm,162,takeover_step,148.1,0.0,,False
cnn_lstm,162,takeover_step,150.45000000000002,0.0,,False
cnn_lstm,162,takeover_step,151.05,0.0,,False
cnn_lstm,162,takeover_step,152.15,0.0,,False
cnn_lstm,162,takeover_step,152.65,0.0,,False
cnn_lstm,162,takeover_step,154.95000000000002,0.0,,False
cnn_lstm,165,drift_sigmoid,156.15,0.0,,False
cnn_lstm,165,drift_sigmoid,156.70000000000002,0.0,,False
cnn_lstm,165,drift_sigmoid,160.70000000000002,0.0,,False
cnn_lstm,165,drift_sigmoid,161.85000000000002,0.0,,False
cnn_lstm,165,drift_sigmoid,161.95000000000002,0.0,,False
cnn_lstm,165,drift_sigmoid,162.05,0.0,,False
cnn_lstm,165,drift_sigmoid,162.8,0.0,,False
cnn_lstm,165,drift_sigmoid,162.95000000000002,0.0,,False
cnn_lstm,165,drift_sigmoid,163.65,0.0,,False
cnn_lstm,166,normal,164.20000000000002,0.0,,False
cnn_lstm,166,normal,167.95000000000002,0.0,,False
cnn_lstm,166,normal,169.10000000000002,0.0,,False
cnn_lstm,166,normal,169.75,0.0,,False
cnn_lstm,166,normal,170.60000000000002,0.04999999999998295,,False
cnn_lstm,166,normal,171.65,0.0,,False
cnn_lstm,169,takeover_ramp,175.70000000000002,0.0,,False
cnn_lstm,169,takeover_ramp,175.8,0.0,,False
cnn_lstm,169,takeover_ramp,177.20000000000002,0.0,,False
cnn_lstm,169,takeover_ramp,179.05,0.0,,False
cnn_lstm,169,takeover_ramp,180.20000000000002,0.0,,False
cnn_lstm,170,normal,187.5,0.05000000000001137,,False
cnn_lstm,170,normal,188.25,0.0,,False
cnn_lstm,179,takeover_step,193.15,0.0,,False
cnn_lstm,179,takeover_step,193.8,0.0,,False
cnn_lstm,179,takeover_step,195.10000000000002,0.0,,False
cnn_lstm,179,takeover_step,195.8,0.0,,False
cnn_lstm,179,takeover_step,196.15,0.0,,False
cnn_lstm,179,takeover_step,196.35000000000002,0.0,,False
cnn_lstm,184,drift_ramp,197.4,0.0,,False
cnn_lstm,184,drift_ramp,197.65,0.0,,False
cnn_lstm,184,drift_ramp,199.25,0.0,,False
cnn_lstm,184,drift_ramp,202.65,0.0,,False
cnn_lstm,184,drift_ramp,204.15,0.0,,False
cnn_lstm,192,drift_sigmoid,206.20000000000002,0.0,,False
cnn_lstm,192,drift_sigmoid,207.8,0.0,,False
cnn_lstm,192,drift_sigmoid,208.0,0.0,,False
cnn_lstm,193,takeover_ramp,213.75,0.0,,False
cnn_lstm,193,takeover_ramp,215.25,0.0,,False
cnn_lstm,193,takeover_ramp,216.95000000000002,0.0,,False
cnn_lstm,193,takeover_ramp,217.5,0.0,,False
cnn_lstm,193,takeover_ramp,218.05,0.0,,False
cnn_lstm,193,takeover_ramp,221.20000000000002,0.0,,False
cnn_lstm,197,drift_sigmoid,223.70000000000002,0.0,,False
cnn_lstm,197,drift_sigmoid,228.9,0.05000000000001137,,False
cnn_lstm,212,drift_sigmoid,231.15,0.0,,False
cnn_lstm,212,drift_sigmoid,231.85000000000002,0.0,,False
cnn_lstm,214,normal,239.35000000000002,0.0,,False
cnn_lstm,214,normal,245.05,0.0,,False
cnn_lstm,221,takeover_step,246.15,0.0,,False
cnn_lstm,221,takeover_step,247.35000000000002,0.04999999999998295,,False
cnn_lstm,221,takeover_step,247.5,0.0,,False
cnn_lstm,221,takeover_step,249.10000000000002,0.0,,False
cnn_lstm,221,takeover_step,249.75,0.0,,False
cnn_lstm,221,takeover_step,251.75,0.0,,False
cnn_lstm,221,takeover_step,251.9,0.0,,False
cnn_lstm,221,takeover_step,252.4,0.0,,False
cnn_lstm,224,takeover_step,254.60000000000002,0.0,,False
cnn_lstm,233,delay,265.2,0.0,,False
cnn_lstm,233,delay,266.7,0.0,,False
cnn_lstm,233,delay,268.15000000000003,0.0,,False
cnn_lstm,238,normal,273.2,0.0,,False
cnn_lstm,238,normal,274.15000000000003,0.0,,False
cnn_lstm,238,normal,276.55,0.0,,False
cnn_lstm,238,normal,276.95,0.0,,False
cnn_lstm,238,normal,278.15000000000003,0.0,,False
cnn_lstm,239,normal,281.95,0.05000000000001137,,False
cnn_lstm,239,normal,285.45,0.0,,False
cnn_lstm,239,normal,285.8,0.0,,False
cnn_lstm,243,step,288.75,0.0,,False
cnn_lstm,243,step,289.35,0.0,,False
cnn_lstm,243,step,289.55,0.0,,False
cnn_lstm,243,step,292.25,0.05000000000001137,,False
cnn_lstm,243,step,294.65000000000003,0.0,,False
cnn_lstm,250,normal,296.05,0.0,,False
cnn_lstm,250,normal,297.65000000000003,0.0,,False
cnn_lstm,250,normal,298.75,0.0,,False
cnn_lstm,250,normal,300.75,0.0,,False
cnn_lstm,250,normal,301.7,0.0,,False
cnn_lstm,250,normal,302.95,0.0,,False
cnn_lstm,254,drift_ramp,303.40000000000003,0.0,,False
cnn_lstm,254,drift_ramp,305.05,0.0,,False
cnn_lstm,254,drift_ramp,305.45,0.0,,False
cnn_lstm,254,drift_ramp,306.75,0.0,,False
cnn_lstm,254,drift_ramp,307.55,0.0,,False
cnn_lstm,254,drift_ramp,308.1,0.0,,False
cnn_lstm,254,drift_ramp,308.40000000000003,0.0,,False
cnn_lstm,254,drift_ramp,311.25,0.0,,False
cnn_lstm,258,drift_sigmoid,312.0,0.0,,False
cnn_lstm,258,drift_sigmoid,312.8,0.0,,False
cnn_lstm,258,drift_sigmoid,313.65000000000003,0.0,,False
cnn_lstm,258,drift_sigmoid,313.95000000000005,0.0,,False
cnn_lstm,258,drift_sigmoid,316.90000000000003,0.0,,False
cnn_lstm,258,drift_sigmoid,317.95000000000005,0.0,,False
cnn_lstm,258,drift_sigmoid,318.5,0.0,,False
cnn_lstm,258,drift_sigmoid,319.25,0.0,,False
cnn_lstm,258,drift_sigmoid,319.40000000000003,0.0,,False
cnn_lstm,264,delay,319.95000000000005,0.0,,False
cnn_lstm,264,delay,320.20000000000005,0.0,,False
cnn_lstm,264,delay,322.90000000000003,0.0,,False
cnn_lstm,264,delay,323.6,0.0,,False
cnn_lstm,264,delay,324.65000000000003,0.0,,False
cnn_lstm,264,delay,325.75,0.0,,False
cnn_lstm,264,delay,327.40000000000003,0.0,,False
cnn_lstm,270,normal,331.40000000000003,0.0,,False
cnn_lstm,270,normal,333.40000000000003,0.0,,False
cnn_lstm,270,normal,333.90000000000003,0.0,,False
cnn_lstm,276,takeover_step,336.5,0.0,,False
cnn_lstm,276,takeover_step,337.20000000000005,0.0,,False
cnn_lstm,276,takeover_step,341.70000000000005,0.0,,False
cnn_lstm,276,takeover_step,342.70000000000005,0.0,,False
cnn_lstm,276,takeover_step,344.35,0.0,,False
cnn_lstm,279,drift_ramp,345.85,0.0,,False
cnn_lstm,279,drift_ramp,349.65000000000003,0.0,,False
tcn,2,takeover_ramp,0.65,0.0,,False
tcn,2,takeover_ramp,1.3,0.0,,False
tcn,2,takeover_ramp,2.9000000000000004,0.0,0.0,True
tcn,2,takeover_ramp,3.2,0.0,,False
tcn,2,takeover_ramp,5.6000000000000005,0.0,0.0,True
tcn,2,takeover_ramp,6.6000000000000005,0.0,0.0,True
tcn,18,normal,9.450000000000001,0.0,,False
tcn,18,normal,11.0,0.0,,False
tcn,18,normal,12.05,0.0,,False
tcn,18,normal,13.0,0.0,0.0,True
tcn,18,normal,14.700000000000001,0.0,0.0,True
tcn,76,step,16.5,0.0,,False
tcn,76,step,18.0,0.0,,False
tcn,76,step,19.400000000000002,0.0,,False
tcn,76,step,19.75,0.0,0.0,True
tcn,76,step,21.400000000000002,0.0,,False
tcn,76,step,22.400000000000002,0.0,0.0,True
tcn,76,step,23.3,0.0,,False
tcn,77,takeover_ramp,24.950000000000003,0.0,0.0,True
tcn,77,takeover_ramp,25.650000000000002,0.0,0.0,True
tcn,77,takeover_ramp,28.35,0.0,,False
tcn,77,takeover_ramp,29.25,0.0,0.0,True
tcn,77,takeover_ramp,31.700000000000003,0.0,,False
tcn,95,step,32.800000000000004,0.0,0.0,True
tcn,95,step,34.1,0.0,0.0,True
tcn,95,step,34.85,0.0,0.0,True
tcn,95,step,37.2,0.0,,False
tcn,95,step,38.300000000000004,0.0,,False
tcn,95,step,40.800000000000004,0.0,,False
tcn,108,step,43.300000000000004,0.0,,False
tcn,108,step,44.95,0.0,0.0,True
tcn,108,step,45.400000000000006,0.04999999999999716,0.0,True
tcn,108,step,47.35,0.0,,False
tcn,110,step,50.2,0.0,0.0,True
tcn,110,step,51.45,0.0,,False
tcn,110,step,53.0,0.0,0.0,True
tcn,110,step,53.6,0.0,,False
tcn,110,step,55.35,0.0,,False
tcn,110,step,56.300000000000004,0.0,,False
tcn,112,takeover_ramp,58.650000000000006,0.0,,False
tcn,112,takeover_ramp,59.2,0.0,,False
tcn,112,takeover_ramp,61.25,0.0,0.0,True
tcn,112,takeover_ramp,63.0,0.0,0.0,True
tcn,112,takeover_ramp,65.45,0.0,0.0,True
tcn,114,drift_ramp,68.95,0.0,,False
tcn,114,drift_ramp,69.4,0.0,,False
tcn,114,drift_ramp,70.3,0.0,,False
tcn,117,delay,77.05000000000001,0.0,0.0,True
tcn,117,delay,77.30000000000001,0.0,,False
tcn,117,delay,80.30000000000001,0.0,0.0,True
tcn,117,delay,80.9,0.0,0.0,True
tcn,117,delay,81.65,0.0,0.0,True
tcn,118,normal,82.9,0.0,,False
tcn,118,normal,84.9,0.0,0.0,True
tcn,118,normal,90.05000000000001,0.0,0.0,True
tcn,123,delay,90.80000000000001,0.0,,False
tcn,123,delay,91.30000000000001,0.0,,False
tcn,123,delay,92.30000000000001,0.0,,False
tcn,123,delay,96.65,0.0,0.0,True
tcn,131,drift_ramp,105.55000000000001,0.0,0.0,True
tcn,131,drift_ramp,106.5,0.0,0.0,True
tcn,134,normal,111.35000000000001,0.0,0.0,True
tcn,134,normal,113.25,0.0,,False
tcn,134,normal,113.80000000000001,0.0,0.0,True
tcn,136,normal,115.75,0.0,0.0,True
tcn,136,normal,118.95,0.0,0.0,True
tcn,136,normal,120.5,0.0,0.0,True
tcn,136,normal,120.95,0.0,0.0,True
tcn,136,normal,121.2,0.0,0.0,True
tcn,136,normal,121.80000000000001,0.0,,False
tcn,149,delay,124.45,0.0,0.0,True
tcn,149,delay,124.75,0.05000000000001137,,False
tcn,149,delay,126.7,0.0,,False
tcn,149,delay,127.30000000000001,0.0,0.0,True
tcn,149,delay,128.1,0.0,0.0,True
tcn,149,delay,130.70000000000002,0.0,,False
tcn,150,normal,134.35,0.0,,False
tcn,150,normal,138.15,0.0,0.0,True
tcn,150,normal,138.75,0.0,,False
tcn,154,normal,140.55,0.04999999999998295,0.0,True
tcn,154,normal,143.65,0.0,0.0,True
tcn,154,normal,143.9,0.0,,False
tcn,154,normal,146.75,0.0,0.0,True
tcn,162,takeover_step,148.1,0.0,0.0,True
tcn,162,takeover_step,150.45000000000002,0.0,,False
tcn,162,takeover_step,151.05,0.0,,False
tcn,162,takeover_step,152.15,0.0,0.0,True
tcn,162,takeover_step,152.65,0.0,0.0,True
tcn,162,takeover_step,154.95000000000002,0.0,,False
tcn,165,drift_sigmoid,156.15,0.0,0.0,True
tcn,165,drift_sigmoid,156.70000000000002,0.0,,False
tcn,165,drift_sigmoid,160.70000000000002,0.0,,False
tcn,165,drift_sigmoid,161.85000000000002,0.0,0.0,True
tcn,165,drift_sigmoid,161.95000000000002,0.0,,False
tcn,165,drift_sigmoid,162.05,0.0,,False
tcn,165,drift_sigmoid,162.8,0.0,,False
tcn,165,drift_sigmoid,162.95000000000002,0.0,,False
tcn,165,drift_sigmoid,163.65,0.0,0.0,True
tcn,166,normal,164.20000000000002,0.0,,False
tcn,166,normal,167.95000000000002,0.0,,False
tcn,166,normal,169.10000000000002,0.0,,False
tcn,166,normal,169.75,0.0,0.0,True
tcn,166,normal,170.60000000000002,0.04999999999998295,0.0,True
tcn,166,normal,171.65,0.0,,False
tcn,169,takeover_ramp,175.70000000000002,0.0,0.0,True
tcn,169,takeover_ramp,175.8,0.0,0.0,True
tcn,169,takeover_ramp,177.20000000000002,0.0,0.0,True
tcn,169,takeover_ramp,179.05,0.0,0.0,True
tcn,169,takeover_ramp,180.20000000000002,0.0,0.0,True
tcn,170,normal,187.5,0.05000000000001137,0.0,True
tcn,170,normal,188.25,0.0,0.0,True
tcn,179,takeover_step,193.15,0.0,,False
tcn,179,takeover_step,193.8,0.0,0.0,True
tcn,179,takeover_step,195.10000000000002,0.0,0.0,True
tcn,179,takeover_step,195.8,0.0,,False
tcn,179,takeover_step,196.15,0.0,,False
